index,category_index,paper_link
1,57,https://vneconomy.vn/100-thu-tuc-hanh-chinh-nganh-xay-dung-se-duoc-cung-cap-truc-tuyen-toan-trinh.htm
2,57,https://vneconomy.vn/15-san-bay-dong-duc-nhat-the-gioi.htm
3,57,https://vneconomy.vn/30-bo-nganh-va-11-dia-phuong-giai-ngan-thap-hon-muc-binh-quan-ca-nuoc.htm
4,57,https://vneconomy.vn/4-diem-nhan-noi-bat-trong-chuyen-cong-tac-trung-quoc-cua-thu-tuong-pham-minh-chinh.htm
5,57,https://vneconomy.vn/5-thang-2025-hon-111-6-nghin-doanh-nghiep-rut-lui-khoi-thi-truong-tuong-duong-so-doanh-nghiep-moi-va-tro-lai-hoat-dong.htm
6,57,https://vneconomy.vn/50-nam-ngoai-giao-tphcm-hoi-nhap-va-phat-trien.htm
7,57,https://vneconomy.vn/50-nen-kinh-te-co-gdp-binh-quan-dau-nguoi-cao-nhat-nam-2025-my-xep-thu-7.htm
8,57,https://vneconomy.vn/50-quoc-gia-co-gdp-binh-quan-dau-nguoi-thap-nhat-the-gioi-an-do-cung-co-mat.htm
9,57,https://vneconomy.vn/6-thang-bac-ninh-hut-2-8-ty-usd-von-fdi.htm
10,57,https://vneconomy.vn/6-thang-dau-nam-kinh-te-da-nang-du-kien-tang-truong-2-con-so.htm
11,57,https://vneconomy.vn/6-thang-nam-2025-von-fdi-tang-hon-32-von-thuc-hien-cao-nhat-trong-5-nam.htm
12,57,https://vneconomy.vn/75-nam-thiet-lap-quan-he-ngoai-giao-viet-nam-trung-va-dong-au-gin-giu-tinh-huu-nghi-mo-rong-hop-tac-chien-luoc-toan-dien.htm
13,57,https://vneconomy.vn/adb-du-bao-tang-truong-viet-nam-trong-nam-2025-la-6-3.htm
14,57,https://vneconomy.vn/ai-tai-dinh-hinh-nganh-cong-nghiep-chip.htm
15,57,https://vneconomy.vn/australia-ho-tro-2-trieu-do-la-uc-cho-cac-giai-phap-sang-tao-ung-pho-voi-bien-doi-khi-hau-trong-nganh-nong-nghiep-viet-nam.htm
16,57,https://vneconomy.vn/ba-nam-xay-dung-cao-toc-can-tho-ca-mau-nhan-xet-va-kien-nghi.htm
17,57,https://vneconomy.vn/ba-ria-vung-tau-dieu-chinh-ke-hoach-von-dau-tu-cong-trung-han-giai-doan-2021-2025-va-nam-2025.htm
18,57,https://vneconomy.vn/ba-ria-vung-tau-thu-hut-gan-4-ty-usd-dau-tu-trong-5-thang-dau-nam-2025.htm
19,57,https://vneconomy.vn/ba-tru-cot-chinh-trong-hop-tac-cong-nghe-viet-phap.htm
20,57,https://vneconomy.vn/bac-ninh-de-xuat-co-che-chinh-sach-dac-thu-day-nhanh-tien-do-du-an-san-bay-gia-binh.htm
21,57,https://vneconomy.vn/ban-chinh-sach-chien-luoc-trung-uong-chu-tri-to-chuc-dien-dan-tang-truong-kinh-te-viet-nam-2025.htm
22,57,https://vneconomy.vn/ban-chinh-sach-chien-luoc-trung-uong-co-them-hai-pho-truong-ban.htm
23,57,https://vneconomy.vn/ban-giao-toan-bo-mat-bang-du-an-cao-toc-tp-hcm-moc-bai-trong-thang-12-2025.htm
24,57,https://vneconomy.vn/bao-cao-dien-tich-cua-don-vi-hanh-chinh-cap-xa-truoc-30-8-2025.htm
25,57,https://vneconomy.vn/bao-chi-la-nha-ngoai-giao-song-song-trong-ky-nguyen-so.htm
26,57,https://vneconomy.vn/bao-dam-cac-dieu-kien-can-thiet-de-van-hanh-chinh-quyen-dia-phuong-2-cap-thong-suot-tu-1-7-2025.htm
27,57,https://vneconomy.vn/bay-giai-phap-chien-luoc-phat-trien-dong-bo-nganh-hang-hai-va-duong-thuy.htm
28,57,https://vneconomy.vn/binh-dinh-co-them-du-an-nha-may-tai-che-vai-1-ty-usd-tu-nha-dau-tu-thuy-dien.htm
29,57,https://vneconomy.vn/binh-dinh-cong-bo-3-tuyen-duong-thuy-noi-dia-ket-noi-nhon-ly-ky-co-hon-kho.htm
30,57,https://vneconomy.vn/binh-duong-chay-nuoc-rut-giai-phong-mat-bang-hai-du-an-giao-thong-lon-qua-dia-ban.htm
31,57,https://vneconomy.vn/binh-duong-kinh-te-tang-toc-xuat-khau-khau-vuot-14-8-ty-usd-trong-5-thang.htm
32,57,https://vneconomy.vn/binh-thuan-sot-ruot-vi-cham-giai-ngan-von-dau-tu-cong.htm
33,57,https://vneconomy.vn/bo-chi-tieu-kinh-te-xa-hoi-dong-bo-giua-cac-tinh-thanh-pho-va-xa-phuong.htm
34,57,https://vneconomy.vn/bo-giay-phep-xay-dung-nha-o-va-dong-giao-dien-cong-dich-vu-cong-cap-tinh-va-bo.htm
35,57,https://vneconomy.vn/bo-ngoai-giao-viet-nam-va-my-dang-trao-doi-de-cu-the-hoa-noi-dung-thao-luan-cua-lanh-dao-cap-cao-hai-nuoc.htm
36,57,https://vneconomy.vn/bo-tai-chinh-de-xuat-bai-bo-thu-tuc-cap-phep-dau-tu-ra-nuoc-ngoai.htm
37,57,https://vneconomy.vn/bo-tai-chinh-de-xuat-thay-doi-thoi-gian-cong-bo-bao-cao-kinh-te-xa-hoi.htm
38,57,https://vneconomy.vn/bo-tai-chinh-kien-nghi-giao-dia-phuong-ra-soat-viec-chon-thau-cao-toc-tp-hcm-chon-thanh.htm
39,57,https://vneconomy.vn/bo-tai-chinh-se-som-bao-cao-chinh-phu-viec-lua-chon-nha-thau-cao-toc-tp-ho-chi-minh-chon-thanh.htm
40,57,https://vneconomy.vn/bo-truong-bo-chuyen-doi-so-va-vien-thong-phap-doi-moi-sang-tao-la-tru-cot-trong-hop-tac-viet-phap.htm
41,57,https://vneconomy.vn/bo-xay-dung-chap-thuan-chu-truong-keo-dai-duong-cat-ha-canh-cua-san-bay-vinh.htm
42,57,https://vneconomy.vn/bo-xay-dung-chi-dao-xu-ly-cac-su-co-tai-nha-ga-t3-san-bay-tan-son-nhat.htm
43,57,https://vneconomy.vn/bo-xay-dung-dat-muc-tieu-thong-hon-3-000-km-duong-cao-toc-va-khoi-cong-19-du-an-trong-nam-2025.htm
44,57,https://vneconomy.vn/bo-xay-dung-de-xuat-bo-sung-9-du-an-giao-thong-vao-danh-muc-du-an-quan-trong-quoc-gia.htm
45,57,https://vneconomy.vn/bo-xay-dung-de-xuat-chuyen-nhiem-vu-cuong-che-va-ra-quyet-dinh-cuong-che-ve-cap-xa.htm
46,57,https://vneconomy.vn/bo-xay-dung-de-xuat-mo-rong-18-doan-tuyen-cao-toc-bac-nam-phia-dong-theo-phuong-thuc-ppp.htm
47,57,https://vneconomy.vn/bo-xay-dung-don-doc-nhieu-du-an-co-tien-do-giai-ngan-thap.htm
48,57,https://vneconomy.vn/bo-xay-dung-phan-hoi-de-xuat-dau-tu-hon-17-000-ty-dong-vao-ha-tang-giao-thong-va-cang-hang-khong-pleiku-tai-gia-lai.htm
49,57,https://vneconomy.vn/bo-xay-dung-phan-hoi-kien-nghi-cu-tri-vinh-long-ve-quoc-lo-53-va-quoc-lo-54.htm
50,57,https://vneconomy.vn/bo-xay-dung-phan-hoi-ve-de-xuat-cua-hai-tap-doan-tu-nhan-ve-dau-tu-mo-rong-san-bay-phu-quoc.htm
51,57,https://vneconomy.vn/bo-xay-dung-phan-hoi-vinspeed-va-thaco-ve-dau-tu-du-an-duong-sat-toc-do-cao-bac-nam.htm
52,57,https://vneconomy.vn/bo-xay-dung-phe-duyet-quy-hoach-chi-tiet-phat-trien-cac-cang-bien-tai-tien-giang.htm
